,time,total
48921,1966-11-01,1419.555516373858
48922,1966-12-01,5798.986467536625
48923,1967-01-01,6893.950723994974
48924,1967-02-01,8009.5531401414555
48925,1967-03-01,12646.309362506141
48926,1967-04-01,10968.573734449723
48927,1967-05-01,5835.931602185548
48928,1967-06-01,2765.480153535635
48929,1967-07-01,1559.4010005394214
48930,1967-08-01,711.9980844075207
48931,1967-09-01,1320.5452070881015
48932,1967-10-01,1001.5828029176901
48933,1967-11-01,921.0559556006434
48934,1967-12-01,2677.1022734672315
48935,1968-01-01,2535.8799704441853
48936,1968-02-01,2948.4387876521987
48937,1968-03-01,5743.240442951023
48938,1968-04-01,8257.681538840958
48939,1968-05-01,7498.577207430867
48940,1968-06-01,2794.0275645109105
48941,1968-07-01,1244.9451639934882
48942,1968-08-01,643.5082850159909
48943,1968-09-01,1094.8490564127944
48944,1968-10-01,743.8766922992651
48945,1968-11-01,695.8978636359872
48946,1968-12-01,5977.539843782536
48947,1969-01-01,7634.525114658803
48948,1969-02-01,9536.905755630753
48949,1969-03-01,19608.990532051255
48950,1969-04-01,24697.989571001825
48951,1969-05-01,16342.162566779287
48952,1969-06-01,10811.604555619888
48953,1969-07-01,4935.598901262685
48954,1969-08-01,3025.544294819892
48955,1969-09-01,2431.4419728461235
48956,1969-10-01,1857.5014631755162
48957,1969-11-01,1888.2909938200087
48958,1969-12-01,2134.880349492852
48959,1970-01-01,2056.5922152167836
48960,1970-02-01,2069.1056307559593
48961,1970-03-01,7179.552691244332
48962,1970-04-01,12527.912969650886
48963,1970-05-01,10915.606832667934
48964,1970-06-01,4906.42075231536
48965,1970-07-01,2255.80376360422
48966,1970-08-01,1472.8323420557592
48967,1970-09-01,1258.8181349520871
48968,1970-10-01,1350.4298047890288
48969,1970-11-01,2209.584770126484
48970,1970-12-01,1457.513707225387
48971,1971-01-01,1985.4807060657936
48972,1971-02-01,11739.011222903651
48973,1971-03-01,8171.201704116025
48974,1971-04-01,10357.67788062308
48975,1971-05-01,8740.96579057476
48976,1971-06-01,6676.260645544651
48977,1971-07-01,3209.4392339428214
48978,1971-08-01,1767.8790154406413
48979,1971-09-01,1535.5054936703273
48980,1971-10-01,1393.834372408212
48981,1971-11-01,2263.0588380871905
48982,1971-12-01,2193.0037272880954
48983,1972-01-01,11520.324030726164
48984,1972-02-01,29505.024778749368
48985,1972-03-01,15880.348446473234
48986,1972-04-01,12768.266436675209
48987,1972-05-01,11967.032505231859
48988,1972-06-01,5109.613467483872
48989,1972-07-01,3756.5670907275285
48990,1972-08-01,2215.847213706279
48991,1972-09-01,1910.2723216424774
48992,1972-10-01,1701.866625142005
48993,1972-11-01,2802.853462709879
48994,1972-12-01,2083.092465983509
48995,1973-01-01,8513.756897129706
48996,1973-02-01,8834.978493338262
48997,1973-03-01,9924.353065963067
48998,1973-04-01,15954.681729516624
48999,1973-05-01,12393.432864998565
49000,1973-06-01,7004.366773332042
49001,1973-07-01,4096.30246930479
49002,1973-08-01,2311.237810151508
49003,1973-09-01,1974.3658818954539
49004,1973-10-01,1261.8611707861417
49005,1973-11-01,1045.522017932514
49006,1973-12-01,1056.4036534806344
49007,1974-01-01,7568.891093735709
49008,1974-02-01,19198.98029927349
49009,1974-03-01,26774.607397706437
49010,1974-04-01,20790.835196250744
49011,1974-05-01,13167.485785318171
49012,1974-06-01,7271.581045877095
49013,1974-07-01,3429.1288406379044
49014,1974-08-01,2296.394370138514
49015,1974-09-01,1772.0236727925194
49016,1974-10-01,1193.7877999855364
49017,1974-11-01,946.9979958655031
49018,1974-12-01,1656.1809371113557
49019,1975-01-01,9146.929574073907
49020,1975-02-01,29410.739166720887
49021,1975-03-01,35704.453439096644
49022,1975-04-01,30282.423275161833
49023,1975-05-01,19519.085193820614
49024,1975-06-01,9129.121526222381
49025,1975-07-01,5411.531808722345
49026,1975-08-01,2434.2720756963763
49027,1975-09-01,2380.1044171339927
49028,1975-10-01,1884.4204464474178
49029,1975-11-01,1640.6331760943017
49030,1975-12-01,1674.1386020549608
49031,1976-01-01,9846.223316999207
49032,1976-02-01,12773.532259984186
49033,1976-03-01,22102.39017885457
49034,1976-04-01,22018.6660173939
49035,1976-05-01,18160.415905887243
49036,1976-06-01,10926.25962916356
49037,1976-07-01,5796.363671813947
49038,1976-08-01,3159.209281105169
49039,1976-09-01,2664.0583201673026
49040,1976-10-01,2262.368076159406
49041,1976-11-01,1877.3654407913036
49042,1976-12-01,1973.2183108564398
49043,1977-01-01,4580.38805971217
49044,1977-02-01,6817.416713949161
49045,1977-03-01,21818.63426820247
49046,1977-04-01,20331.306531909937
49047,1977-05-01,10837.914753831832
49048,1977-06-01,7619.207917404796
49049,1977-07-01,3544.637756007626
49050,1977-08-01,2552.83502089819
49051,1977-09-01,1953.7597340259329
